ticker_symbol,total_revenue,gross_profit,net_income,total_assets,total_liabilities,year
AAPL,"$383,285,000","$169,148,000","$96,995,000","$352,583,000","$290,437,000",2023
AAPL,"$394,328,000","$170,782,000","$99,803,000","$352,755,000","$302,083,000",2022
AAPL,"$365,817,000","$152,836,000","$94,680,000","$351,002,000","$287,912,000",2021
AAPL,"$274,515,000","$104,956,000","$57,411,000","$323,888,000","$258,549,000",2020
MSFT,"$211,915,000","$146,052,000","$72,361,000","$411,976,000","$205,753,000",2023
MSFT,"$198,270,000","$135,620,000","$72,738,000","$364,840,000","$198,298,000",2022
MSFT,"$168,088,000","$115,856,000","$61,271,000","$333,779,000","$191,791,000",2021
MSFT,"$143,015,000","$96,937,000","$44,281,000","$301,311,000","$183,007,000",2020
GOOG,"$282,836,000","$156,633,000","$59,972,000","$365,264,000","$109,120,000",2022
GOOG,"$257,637,000","$146,698,000","$76,033,000","$359,268,000","$107,633,000",2021
GOOG,"$182,527,000","$97,795,000","$40,269,000","$319,616,000","$97,072,000",2020
GOOG,"$161,857,000","$89,961,000","$34,343,000","$275,909,000","$74,467,000",2019
GOOGL,"$282,836,000","$156,633,000","$59,972,000","$365,264,000","$109,120,000",2022
GOOGL,"$257,637,000","$146,698,000","$76,033,000","$359,268,000","$107,633,000",2021
GOOGL,"$182,527,000","$97,795,000","$40,269,000","$319,616,000","$97,072,000",2020
GOOGL,"$161,857,000","$89,961,000","$34,343,000","$275,909,000","$74,467,000",2019
AMZN,"$513,983,000","$225,152,000","-$2,722,000","$462,675,000","$316,632,000",2022
AMZN,"$469,822,000","$197,478,000","$33,364,000","$420,549,000","$282,304,000",2021
AMZN,"$386,064,000","$152,757,000","$21,331,000","$321,195,000","$227,791,000",2020
AMZN,"$280,522,000","$114,986,000","$11,588,000","$225,248,000","$163,188,000",2019
NVDA,"$26,974,000","$15,356,000","$4,368,000","$41,182,000","$19,081,000",2023
NVDA,"$26,914,000","$17,475,000","$9,752,000","$44,187,000","$17,575,000",2022
NVDA,"$16,675,000","$10,396,000","$4,332,000","$28,791,000","$11,898,000",2021
NVDA,"$10,918,000","$6,768,000","$2,796,000","$17,315,000","$5,111,000",2020
META,"$116,609,000","$91,360,000","$23,200,000","$185,727,000","$60,014,000",2022
META,"$117,929,000","$95,280,000","$39,370,000","$165,987,000","$41,108,000",2021
META,"$85,965,000","$69,273,000","$29,146,000","$159,316,000","$31,026,000",2020
META,"$70,697,000","$57,927,000","$18,485,000","$133,376,000","$32,322,000",2019
BRK/A,,,,,,No data found
BRK/B,,,,,,No data found
TSLA,"$81,462,000","$20,853,000","$12,556,000","$82,338,000","$37,225,000",2022
TSLA,"$53,823,000","$13,606,000","$5,519,000","$62,131,000","$31,374,000",2021
TSLA,"$31,536,000","$6,630,000","$721,000","$52,148,000","$29,268,000",2020
TSLA,"$24,578,000","$4,069,000","-$862,000","$34,309,000","$27,048,000",2019
HSBC,"$86,423,000",--,"$16,670,000","$2,966,530,000","$2,779,046,000",2022
HSBC,"$73,639,000",--,"$14,693,000","$2,957,939,000","$2,759,689,000",2021
HSBC,"$77,252,000",--,"$6,099,000","$2,984,164,000","$2,787,721,000",2020
HSBC,"$95,257,000",--,"$8,708,000","$2,715,152,000","$2,531,197,000",2019
LLY,"$28,541,400","$21,911,600","$6,244,800","$49,489,800","$38,714,400",2022
LLY,"$28,318,400","$21,005,600","$5,581,700","$48,806,000","$39,651,200",2021
LLY,"$24,539,800","$19,056,500","$6,193,700","$46,633,100","$40,807,900",2020
LLY,"$22,319,500","$17,598,300","$8,318,400","$39,286,100","$36,587,000",2019
TSM,"$73,657,200","$43,869,600","$32,317,500","$161,522,000","$67,070,300",2022
TSM,"$57,375,800","$29,621,500","$21,429,200","$134,647,900","$56,964,700",2021
TSM,"$47,663,700","$25,308,900","$18,186,600","$98,249,000","$32,948,600",2020
TSM,"$35,693,500","$16,436,000","$11,810,000","$75,548,800","$21,717,300",2019
UNH,"$324,162,000","$113,320,000","$20,120,000","$245,705,000","$163,036,000",2022
UNH,"$287,597,000","$100,686,000","$17,285,000","$212,206,000","$139,012,000",2021
UNH,"$257,141,000","$97,745,000","$15,403,000","$197,289,000","$129,587,000",2020
UNH,"$242,155,000","$85,715,000","$13,839,000","$173,889,000","$114,547,000",2019
V,"$32,653,000","$26,822,000","$17,273,000","$90,499,000","$51,766,000",2023
V,"$29,310,000","$24,320,000","$14,957,000","$85,501,000","$49,920,000",2022
V,"$24,105,000","$19,865,000","$12,311,000","$82,896,000","$45,307,000",2021
V,"$21,846,000","$18,061,000","$10,866,000","$80,919,000","$44,709,000",2020
JPM,"$122,306,000","$122,306,000","$37,676,000","$3,665,743,000","$3,373,411,000",2022
JPM,"$130,905,000","$130,905,000","$48,334,000","$3,743,567,000","$3,449,440,000",2021
JPM,"$102,471,000","$102,471,000","$29,131,000","$3,384,757,000","$3,105,403,000",2020
JPM,"$110,135,000","$110,135,000","$36,431,000","$2,687,379,000","$2,426,049,000",2019
NVO,"$25,396,000","$21,313,000","$7,969,000","$34,624,000","$22,643,000",2022
NVO,"$21,528,000","$17,911,000","$7,302,000","$29,740,000","$18,923,000",2021
NVO,"$20,867,000","$17,426,000","$6,927,000","$23,822,000","$13,413,000",2020
NVO,"$18,014,000","$15,171,000","$6,150,000","$16,508,000","$8,474,000",2017
SHEL,"$381,314,000","$97,308,000","$42,309,000","$443,024,000","$252,552,000",2022
SHEL,"$261,504,000","$62,770,000","$20,101,000","$404,379,000","$232,413,000",2021
SHEL,"$180,543,000","$39,449,000","-$21,680,000","$379,268,000","$223,958,000",2020
SHEL,"$344,877,000","$65,456,000","$15,842,000","$404,336,000","$217,860,000",2019
WMT,"$611,289,000","$147,568,000","$11,680,000","$243,197,000","$166,267,000",2023
WMT,"$572,754,000","$143,754,000","$13,673,000","$244,860,000","$161,607,000",2022
WMT,"$559,151,000","$138,836,000","$13,510,000","$252,496,000","$171,571,000",2021
WMT,"$523,964,000","$129,359,000","$14,881,000","$236,495,000","$161,826,000",2020
XOM,"$398,675,000","$127,107,000","$55,740,000","$369,067,000","$174,018,000",2022
XOM,"$276,692,000","$85,493,000","$23,040,000","$338,923,000","$170,346,000",2021
XOM,"$178,574,000","$54,136,000","-$22,440,000","$332,750,000","$175,600,000",2020
XOM,"$255,583,000","$74,956,000","$14,340,000","$362,597,000","$170,947,000",2019
AVGO,"$35,819,000","$24,690,000","$14,082,000","$72,861,000","$48,873,000",2023
AVGO,"$33,203,000","$22,095,000","$11,495,000","$73,249,000","$50,540,000",2022
AVGO,"$27,450,000","$16,844,000","$6,736,000","$75,570,000","$50,581,000",2021
AVGO,"$23,888,000","$13,516,000","$2,960,000","$75,933,000","$52,032,000",2020
MA,"$22,237,000","$22,237,000","$9,930,000","$38,724,000","$32,405,000",2022
MA,"$18,884,000","$18,884,000","$8,687,000","$37,669,000","$30,328,000",2021
