company_name,ticker_symbol,market_cap,url
Apple Inc. Common Stock,AAPL,"3,043,829,093,920",https://www.nasdaq.com/market-activity/stocks/aapl
Microsoft Corporation Common Stock,MSFT,"2,781,375,531,382",https://www.nasdaq.com/market-activity/stocks/msft
Alphabet Inc. Class C Capital Stock,GOOG,"1,710,186,240,000",https://www.nasdaq.com/market-activity/stocks/goog
Alphabet Inc. Class A Common Stock,GOOGL,"1,689,534,840,000",https://www.nasdaq.com/market-activity/stocks/googl
"Amazon.com, Inc. Common Stock",AMZN,"1,523,442,788,988",https://www.nasdaq.com/market-activity/stocks/amzn
NVIDIA Corporation Common Stock,NVDA,"1,173,398,200,000",https://www.nasdaq.com/market-activity/stocks/nvda
"Meta Platforms, Inc. Class A Common Stock",META,"855,121,824,073",https://www.nasdaq.com/market-activity/stocks/meta
Berkshire Hathaway Inc.,BRK/A,"794,271,812,913",https://www.nasdaq.com/market-activity/stocks/brk/a
Berkshire Hathaway Inc.,BRK/B,"779,004,418,873",https://www.nasdaq.com/market-activity/stocks/brk/b
"Tesla, Inc. Common Stock",TSLA,"775,148,191,981",https://www.nasdaq.com/market-activity/stocks/tsla
"HSBC Holdings, plc. Common Stock",HSBC,"772,162,530,000",https://www.nasdaq.com/market-activity/stocks/hsbc
Eli Lilly and Company Common Stock,LLY,"567,733,193,088",https://www.nasdaq.com/market-activity/stocks/lly
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,"520,422,735,832",https://www.nasdaq.com/market-activity/stocks/tsm
UnitedHealth Group Incorporated Common Stock (DE),UNH,"508,496,178,333",https://www.nasdaq.com/market-activity/stocks/unh
Visa Inc.,V,"469,448,198,316",https://www.nasdaq.com/market-activity/stocks/v
JP Morgan Chase & Co. Common Stock,JPM,"458,282,642,215",https://www.nasdaq.com/market-activity/stocks/jpm
Novo Nordisk A/S Common Stock,NVO,"432,750,216,369",https://www.nasdaq.com/market-activity/stocks/nvo
Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),SHEL,"429,135,789,540",https://www.nasdaq.com/market-activity/stocks/shel
Walmart Inc. Common Stock,WMT,"406,150,376,435",https://www.nasdaq.com/market-activity/stocks/wmt
Exxon Mobil Corporation Common Stock,XOM,"394,508,475,551",https://www.nasdaq.com/market-activity/stocks/xom
Broadcom Inc. Common Stock,AVGO,"389,746,136,427",https://www.nasdaq.com/market-activity/stocks/avgo
Mastercard Incorporated Common Stock,MA,"386,513,781,302",https://www.nasdaq.com/market-activity/stocks/ma
Johnson & Johnson Common Stock,JNJ,"371,731,964,500",https://www.nasdaq.com/market-activity/stocks/jnj
Procter & Gamble Company (The) Common Stock,PG,"342,102,033,527",https://www.nasdaq.com/market-activity/stocks/pg
"Home Depot, Inc. (The) Common Stock",HD,"324,923,134,211",https://www.nasdaq.com/market-activity/stocks/hd
BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),BHP,"316,322,972,524",https://www.nasdaq.com/market-activity/stocks/bhp
Oracle Corporation Common Stock,ORCL,"311,271,063,810",https://www.nasdaq.com/market-activity/stocks/orcl
Adobe Inc. Common Stock,ADBE,"277,737,553,000",https://www.nasdaq.com/market-activity/stocks/adbe
ASML Holding N.V. New York Registry Shares,ASML,"274,803,903,503",https://www.nasdaq.com/market-activity/stocks/asml
Chevron Corporation Common Stock,CVX,"272,421,009,846",https://www.nasdaq.com/market-activity/stocks/cvx
Costco Wholesale Corporation Common Stock,COST,"270,417,086,566",https://www.nasdaq.com/market-activity/stocks/cost
AbbVie Inc. Common Stock,ABBV,"263,559,426,207",https://www.nasdaq.com/market-activity/stocks/abbv
"Merck & Company, Inc. Common Stock (new)",MRK,"262,904,894,965",https://www.nasdaq.com/market-activity/stocks/mrk
Toyota Motor Corporation Common Stock,TM,"258,040,031,241",https://www.nasdaq.com/market-activity/stocks/tm
Coca-Cola Company (The) Common Stock,KO,"253,395,283,404",https://www.nasdaq.com/market-activity/stocks/ko
"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",NGG,"248,841,374,518",https://www.nasdaq.com/market-activity/stocks/ngg
Bank of America Corporation Common Stock,BAC,"245,009,143,153",https://www.nasdaq.com/market-activity/stocks/bac
"Salesforce, Inc. Common Stock",CRM,"242,784,080,000",https://www.nasdaq.com/market-activity/stocks/crm
"PepsiCo, Inc. Common Stock",PEP,"227,787,461,058",https://www.nasdaq.com/market-activity/stocks/pep
Accenture plc Class A Ordinary Shares (Ireland),ACN,"224,295,741,680",https://www.nasdaq.com/market-activity/stocks/acn
"Advanced Micro Devices, Inc. Common Stock",AMD,"208,270,117,028",https://www.nasdaq.com/market-activity/stocks/amd
McDonald's Corporation Common Stock,MCD,"207,106,909,826",https://www.nasdaq.com/market-activity/stocks/mcd
Novartis AG Common Stock,NVS,"204,118,352,189",https://www.nasdaq.com/market-activity/stocks/nvs
"Netflix, Inc. Common Stock",NFLX,"198,601,526,605",https://www.nasdaq.com/market-activity/stocks/nflx
SAP SE ADS,SAP,"196,757,237,797",https://www.nasdaq.com/market-activity/stocks/sap
"Cisco Systems, Inc. Common Stock (DE)",CSCO,"196,590,953,205",https://www.nasdaq.com/market-activity/stocks/csco
Linde plc Ordinary Shares,LIN,"194,572,005,317",https://www.nasdaq.com/market-activity/stocks/lin
